Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1041,7 8 9 10,12.03,79.80%,11.15,5.42
1042,2 9 11 13,12.04,81.90%,11.42,5.52
1043,2 3 5 13,12.1,85.70%,11.97,5.39
1044,2 5 7 13,12.12,83.90%,11.83,5.65
1045,2 5 11 12,12.12,76.90%,10.52,5.47
1046,1 5 8 11,12.15,89.40%,12.52,5.58
1047,2 5 5 7,12.15,82.10%,11.65,4.9
1048,4 6 6 12,12.17,85.90%,11.71,5.88
1049,3 3 3 11,12.22,78.20%,10.86,5.47
1050,3 4 8 9,12.24,88%,12.36,5.09
1051,2 4 4 5,12.28,82.20%,11.4,5.18
1052,2 5 7 11,12.29,82.50%,11.69,5.76
1053,2 4 4 10,12.35,89.70%,12.49,5.2
1054,7 10 10 12,12.35,78.10%,11.25,5.28
1055,2 3 6 12,12.36,91.30%,12.81,5.22
1056,6 9 9 12,12.39,87%,12.28,5.85
1057,3 3 3 4,12.4,82.40%,11.59,5.95
1058,2 6 6 7,12.42,78.30%,10.87,5.66
1059,4 9 10 11,12.42,76.60%,10.68,5.77
1060,4 4 6 9,12.45,77.20%,10.66,5.62
1061,1 4 5 7,12.55,87.90%,12.55,5.3
1062,7 9 10 11,12.57,77%,10.97,5.42
1063,3 4 9 9,12.59,84.30%,12.14,5.01
1064,4 4 6 10,12.6,87.50%,12.58,5.31
1065,4 10 11 13,12.6,75.80%,10.69,5.72
1066,3 3 6 8,12.62,74.60%,10.47,5.65
1067,4 4 7 8,12.62,84%,12.38,5.62
1068,6 9 10 12,12.62,80.20%,11.56,6.11
1069,2 2 2 7,12.65,72.70%,9.65,5.71
1070,1 5 8 13,12.73,80.10%,11.53,5.8
1071,2 4 5 7,12.75,78.50%,11.35,5.63
1072,7 7 9 10,12.75,75.80%,11.36,5.29
1073,4 6 9 13,12.82,85.30%,12.78,5.29
1074,1 4 7 9,12.83,82.10%,11.99,5.11
1075,3 5 6 11,12.83,82.20%,12.15,6.66
1076,2 4 8 13,12.84,82.30%,12.2,5.94
1077,3 3 5 10,12.85,83%,12.1,5.35
1078,5 6 10 12,12.86,75.90%,11.04,5.51
1079,3 5 11 12,12.87,79.80%,11.55,5.83
1080,4 8 12 12,12.89,85.50%,12.27,5.91
1081,3 3 9 13,12.95,74.20%,10.75,6.05
1082,2 5 10 13,12.97,82%,12.42,5.92
1083,4 5 8 13,12.97,78.10%,11.51,6
1084,4 7 10 12,12.97,79.70%,11.58,5.66
1085,5 7 7 9,12.98,74.30%,11.18,5.16
1086,2 3 3 3,12.99,82.30%,11.97,5.98
1087,5 7 11 13,13.01,71%,10.13,5.25
1088,1 4 5 9,13.04,82.10%,12.16,6.73
1089,4 4 6 8,13.09,84.10%,12.47,6.8
1090,6 9 11 13,13.1,72.70%,10.49,6.14
1091,2 3 8 8,13.13,80.40%,11.98,5.81
1092,3 5 6 13,13.17,76%,11.41,5.6
1093,1 4 6 6,13.24,80.20%,11.99,6.48
1094,4 4 5 12,13.31,79%,11.77,6.15
1095,2 3 5 10,13.32,80.20%,12.09,5.37
1096,1 5 6 11,13.33,80.90%,12.15,6.59
1097,5 5 7 10,13.33,74%,11.53,5.1
1098,1 4 5 8,13.4,82.40%,12.65,5.77
1099,1 1 6 9,13.41,80.60%,11.59,6.55
1100,5 9 10 13,13.41,78%,11.67,5.89
1101,3 5 7 8,13.44,85.30%,13.03,5.94
1102,5 7 10 10,13.45,76.60%,12.22,5.4
1103,2 8 10 13,13.51,80.80%,12.72,6.13
1104,2 2 2 9,13.52,76.20%,11.14,6.45
1105,4 10 10 12,13.52,78.10%,12.23,6.33
1106,6 7 7 10,13.54,72.80%,10.93,5.34
1107,6 9 11 12,13.55,75.40%,11.24,6.13
1108,2 7 10 11,13.56,78.80%,12.39,6.17
1109,7 10 11 13,13.57,73.70%,11.23,5.88
1110,1 3 6 10,13.6,82.30%,12.3,6.99
1111,6 8 11 12,13.7,78%,12.43,5.9
1112,4 5 8 10,13.77,75.80%,11.49,5.96
1113,3 8 9 11,13.78,80%,12.74,6.87
1114,6 12 12 12,13.91,76.50%,11.76,6.74
1115,2 3 7 8,13.93,80.30%,12.8,5.62
1116,2 10 12 13,13.93,81.50%,13.23,6.13
1117,6 7 10 10,14.06,70.60%,10.67,5.88
1118,2 4 7 9,14.13,80.50%,13.27,6.38
1119,2 3 8 9,14.2,81.20%,12.99,6.27
1120,3 5 9 9,14.2,79.30%,13.09,6.21
1121,5 7 9 11,14.2,71.50%,11.16,5.94
1122,2 2 5 9,14.28,74.20%,11.89,6.37
1123,3 3 9 11,14.28,79.20%,13.21,5.79
1124,1 3 7 9,14.31,80.20%,12.81,5.55
1125,2 4 9 10,14.35,79.50%,13.13,6.06
1126,3 3 8 10,14.43,80.90%,13.75,5.74
1127,3 5 5 11,14.44,79.40%,13.31,5.6
1128,3 5 12 12,14.58,67.40%,9.93,6.09
1129,3 4 4 10,14.59,77.30%,12.34,6.83
1130,1 3 5 6,14.6,86.20%,14.29,5.94
1131,3 4 4 11,14.63,76.30%,12.75,6.46
1132,2 6 12 13,14.66,78.60%,13.45,5.85
1133,5 5 9 11,14.69,71.40%,12.38,5.26
1134,4 6 9 12,14.75,77.60%,12.73,7.02
1135,3 4 7 12,14.76,82.70%,14.25,6.3
1136,2 5 9 10,14.78,78.10%,13.27,6.35
1137,2 6 9 12,14.79,82.90%,13.86,6.66
1138,4 5 8 11,14.82,73.30%,11.94,6.78
1139,3 3 4 13,14.83,76.50%,12.44,6.86
1140,5 6 6 12,14.86,80.80%,13.61,6.13
1141,4 4 4 10,14.89,77.10%,12.86,6.5
1142,5 9 9 12,14.9,75.90%,13.14,6.76
1143,2 2 3 4,14.95,77.30%,13.13,6.06
1144,3 4 10 10,14.95,75.50%,12.98,6.1
1145,6 10 10 13,14.95,69.30%,11.14,6.24
1146,4 4 5 13,14.96,72.90%,12.12,7.21
1147,3 6 11 13,15.01,73.10%,11.55,6.9
1148,2 5 9 11,15.03,76.40%,13.25,6.99
1149,2 2 5 10,15.04,78.70%,13.58,5.84
1150,1 5 11 12,15.08,71.20%,11.47,6.18
1151,2 2 7 7,15.1,70%,11.47,6.07
1152,3 6 8 13,15.12,81.40%,14.48,6.32
1153,5 7 8 10,15.19,70.90%,12.26,5.73
1154,3 3 9 10,15.23,77.90%,13.71,6.2
1155,3 6 8 12,15.25,80.60%,13.94,6.19
1156,4 7 8 12,15.25,79.50%,14.07,6.77
1157,3 6 6 13,15.33,72.60%,12.2,6.46
1158,2 4 10 11,15.41,79.40%,14.23,6.59
1159,2 5 8 8,15.42,71.50%,11.84,6.72
1160,5 5 5 12,15.45,67.60%,10.34,6.42
1161,1 4 4 6,15.53,79.50%,13.62,6.8
1162,7 9 12 12,15.54,64.20%,9.55,5.66
1163,4 6 8 10,15.61,76.20%,12.93,7.78
1164,2 6 11 12,15.69,77.70%,14.15,6.46
1165,5 7 12 12,15.71,66.20%,10.54,6.25
1166,1 5 5 10,15.76,71%,11.85,7.11
1167,2 3 8 10,15.85,82.30%,15.16,6.63
1168,2 5 5 9,15.85,78.70%,14.53,6.04
1169,3 3 8 13,15.89,69.60%,11.47,6.28
1170,4 5 7 13,15.91,72.70%,12.63,6.38
1171,7 7 7 12,16.13,65.10%,9.25,6.24
1172,1 3 12 13,16.14,75.80%,13.76,6.91
1173,2 3 6 7,16.15,81.10%,15.14,6.72
1174,1 3 8 10,16.2,71.10%,12.49,6.57
1175,5 6 9 13,16.44,68.90%,12.58,6.18
1176,4 7 8 11,16.49,68.30%,10.91,6.71
1177,2 6 10 11,16.52,73.40%,13.69,7
1178,3 10 11 13,16.61,71.40%,13.5,6.4
1179,6 10 11 12,16.64,69.90%,13.2,6.34
1180,2 2 6 7,16.72,72.60%,13.3,7.02
1181,4 9 9 12,16.72,71.70%,13.61,6.65
1182,1 4 10 12,16.79,72.30%,12.97,6.71
1183,5 5 6 8,16.8,78.20%,15.04,6.67
1184,2 6 6 9,16.88,72.80%,13.27,6.7
1185,1 3 11 12,16.93,75.90%,14.6,7.56
1186,3 9 9 13,16.94,67.30%,12.25,6.19
1187,2 3 7 10,17.03,77%,15.03,6.86
1188,6 8 9 10,17.06,71%,13.04,7.38
1189,2 4 4 9,17.12,73.50%,13.71,7.53
1190,2 3 7 7,17.14,76.60%,15.27,6.63
1191,6 6 9 10,17.15,70.20%,13.54,7.01
1192,2 7 10 10,17.31,67.90%,13.53,5.91
1193,2 2 9 12,17.35,73%,15.06,6.48
1194,6 6 6 10,17.38,66.20%,11.68,6.65
1195,8 8 8 11,17.44,63.30%,10.44,6.17
1196,10 12 12 12,17.63,64.10%,10.49,5.95
1197,5 7 7 10,17.67,67.60%,13.37,6.63
1198,3 5 8 9,17.72,75.60%,15.83,7.6
1199,3 5 7 12,17.94,71%,14.33,7.93
1200,3 8 9 13,18.03,73.60%,15.45,7.21
1201,3 6 8 10,18.05,66.20%,12.21,6.96
1202,3 9 9 11,18.06,70.20%,13.89,7.63
1203,2 8 10 12,18.11,79.80%,16.66,7.61
1204,2 6 7 10,18.41,69.90%,13.24,7.4
1205,9 9 9 12,18.43,63.50%,10.07,6.91
1206,2 6 8 9,18.45,72.70%,15.58,6.68
1207,4 5 6 9,18.56,75.40%,16.57,7.09
1208,2 6 9 10,18.64,69.50%,14.86,6.87
1209,3 4 8 13,18.64,70%,14.02,8.03
1210,3 5 12 13,18.68,68.10%,14.56,6.62
1211,8 10 12 13,18.68,67.40%,14.5,6.38
1212,2 4 7 8,19.09,76.50%,16.93,7.26
1213,4 8 9 12,19.09,72.70%,16.4,6.89
1214,2 3 10 10,19.48,69.20%,14.71,7.67
1215,2 2 9 10,19.56,65.20%,14.46,7.42
1216,2 7 10 12,19.61,70.30%,16.1,7.16
1217,3 5 9 10,19.7,67.90%,14.66,7.8
1218,2 2 4 4,19.71,71.70%,15.26,8.28
1219,1 3 3 8,19.75,73.80%,15.94,7.99
1220,6 8 8 9,19.8,62.90%,11.77,7.2
1221,2 2 4 12,19.86,75.20%,15.61,9.42
1222,8 10 12 12,19.98,63.30%,11.76,7.49
1223,2 3 11 11,20.03,68.10%,15.14,7.79
1224,1 5 7 10,20.44,69.60%,16.3,7.65
1225,2 3 9 12,20.53,66.90%,13.26,7.75
1226,7 8 8 10,20.56,61.20%,12.34,7.93
1227,6 8 10 11,20.61,64.10%,13.89,7.43
1228,1 3 8 11,20.65,73.40%,16.97,8.27
1229,3 5 10 11,20.8,69.40%,16.11,8.45
1230,5 9 12 13,20.9,64.40%,15.87,7.13
1231,1 2 8 10,21.07,67.80%,15.24,7.93
1232,3 6 9 13,21.15,69.20%,17.2,7.64
1233,2 7 12 12,21.2,62.80%,12.46,7.55
1234,9 11 12 12,21.33,59.40%,10.86,6.54
1235,10 10 10 12,21.36,60.70%,10.56,7.12
1236,2 3 3 5,21.37,69.70%,16.03,8.71
1237,4 4 8 9,21.39,69.60%,17,8.42
1238,3 3 7 8,21.52,68.70%,17.08,8.26
1239,1 6 10 12,21.53,65.90%,14.29,8.05
1240,2 3 5 8,21.54,72.90%,18.1,7.86
1241,3 5 7 11,21.61,64.20%,14.62,7.95
1242,4 5 7 10,22.24,63.40%,14.69,8.12
1243,5 7 10 13,22.58,61.80%,16.57,7.42
1244,2 9 10 10,22.59,61.30%,16.79,7.52
1245,2 4 5 10,23.03,67.30%,17.42,8.13
1246,2 3 6 8,23.39,75.10%,20.34,8.96
1247,5 9 11 13,23.47,61.40%,16.66,7.74
1248,3 4 5 13,23.89,65.50%,18.02,8.55
1249,1 5 9 12,24.14,62.50%,14.25,8.92
1250,5 7 9 10,24.63,60.90%,15.72,8.71
1251,4 10 11 12,24.71,63%,17.56,8.9
1252,2 4 5 5,24.91,60.20%,15.4,8.52
1253,6 6 7 11,24.99,58.10%,13.33,8.26
1254,3 4 4 4,25.18,67.30%,18.1,9.9
1255,2 2 5 8,25.23,63.70%,16.95,9.37
1256,2 5 10 12,25.25,64%,18.21,8.83
1257,5 6 6 9,25.45,59%,14.41,8.96
1258,8 8 9 12,25.46,56.60%,12.87,7.72
1259,8 9 11 11,25.65,58.10%,16,8.45
1260,2 2 6 11,25.66,62.20%,18.65,8.7
1261,4 9 10 12,25.69,62%,17.47,9.42
1262,3 4 7 8,26.01,60.50%,14.62,8.41
1263,3 5 10 10,26.29,54%,12.75,6.92
1264,3 9 11 13,26.5,57.80%,14.24,8.63
1265,5 6 7 9,26.55,59.90%,16.22,9.18
1266,4 7 8 10,26.71,62.40%,18.86,9.23
1267,2 3 13 13,27.39,58.30%,17.79,9.72
1268,2 6 9 9,27.53,57.60%,14.62,8.33
1269,1 7 12 13,27.91,56.40%,15.4,9.4
1270,1 4 9 13,28.32,60.80%,19.03,10.21
1271,3 4 5 11,28.37,63.50%,20.77,10.09
1272,4 10 10 11,28.52,54.70%,19.62,9.26
1273,3 3 6 6,28.75,57.90%,14.41,8.53
1274,6 6 9 13,29.67,54.10%,13.53,8.69
1275,4 5 9 12,29.94,60.70%,22.55,10.5
1276,2 3 7 9,30.68,57.90%,18.41,10.22
1277,4 4 7 13,31.22,53.80%,15.19,9.51
1278,2 5 12 13,31.44,58.20%,22.35,9.97
1279,2 2 7 10,31.56,53.30%,16.51,8.87
1280,1 4 6 10,32.63,55.90%,19.2,9.68
1281,3 6 7 10,33.11,57.30%,22.11,10.54
1282,1 2 7 7,33.27,54.80%,17.59,10.47
1283,2 5 8 12,34.06,54.60%,18.35,10.17
1284,3 8 10 12,34.63,53.80%,20.82,10.61
1285,2 5 7 9,35.16,52.80%,23.55,10.33
1286,2 2 3 10,35.46,54.80%,18.31,10.36
1287,6 7 11 11,35.87,46.20%,20.01,10.31
1288,2 4 7 7,35.95,50.70%,17.46,9.75
1289,2 2 6 9,36.65,52%,18.2,10.24
1290,7 9 11 12,37.14,50%,17.82,10.73
1291,4 7 9 11,37.35,51.60%,22.94,11.29
1292,2 2 3 5,39.22,51.40%,15.58,8.93
1293,5 5 8 11,39.34,46.20%,24.58,11.18
1294,3 6 6 10,39.93,50%,18.61,10.76
1295,5 10 10 11,41.33,41.90%,15.14,7.13
1296,1 5 11 11,42.2,43.30%,16.35,10.01
1297,7 8 9 12,42.24,48.50%,16.35,10.25
1298,1 2 9 11,46.18,44.50%,22.45,12.31
1299,1 5 5 5,47.11,43.50%,12.24,7.48
1300,1 7 13 13,47.11,41.70%,14.37,8.79
1301,4 9 11 11,47.28,43.30%,25.34,13.99
1302,5 9 10 11,47.81,42.90%,28.45,13.54
1303,6 7 7 11,49.02,42.70%,28.02,14.83
1304,5 10 10 13,49.77,38.80%,17.31,8.06
1305,3 3 7 7,49.97,40.90%,12.81,7.57
1306,3 5 8 13,51.39,42%,30.47,14.1
1307,8 9 10 12,51.92,42.50%,22.54,14.33
1308,1 6 11 13,54.34,38.40%,18.77,10.12
1309,2 5 6 9,54.38,44%,27.76,13.9
1310,4 6 6 10,56.81,40.60%,23.13,12.64
1311,1 3 9 10,56.98,40.90%,23.28,12.45
1312,2 2 11 11,58.02,40%,13.62,9.02
1313,5 7 9 12,58.94,39.40%,17.85,11.39
1314,4 4 7 7,59.04,38.70%,14.88,8.42
1315,4 5 6 12,59.8,44%,21.81,16.05
1316,4 6 7 9,59.99,41.70%,19.68,12.36
1317,4 4 10 10,61,39.90%,13.49,9.07
1318,4 7 11 13,62.08,37.20%,31.34,16.81
1319,6 12 12 13,63.01,37.90%,15.55,8.66
1320,3 5 8 12,63.09,38.10%,28.12,13.65
1321,3 4 6 13,63.65,40.10%,20.55,11.9
1322,4 5 6 11,64.39,37.50%,19.79,11.2
1323,6 7 8 12,64.49,40.50%,17.42,12.59
1324,5 7 10 11,64.89,36%,24.65,13.75
1325,5 8 9 13,65.38,35.20%,34.56,16.46
1326,6 11 12 12,66.33,36.30%,15.83,9.33
1327,2 4 11 12,66.98,39.30%,24.28,13.99
1328,2 2 13 13,67.16,37.10%,14.46,8.65
1329,7 10 12 13,67.67,37.80%,22.53,12.98
1330,5 6 8 13,70.63,36%,22.88,11.75
1331,2 7 8 9,70.81,39.40%,18.94,11.53
1332,2 2 6 13,74.25,33.40%,31.52,17.08
1333,1 4 7 11,75.12,35.50%,30.07,16.58
1334,5 6 9 11,75.21,33.50%,26.48,15.26
1335,6 9 9 10,81.28,31.80%,33.11,18.97
1336,7 8 8 13,84.3,29.80%,27.26,15.22
1337,2 5 7 8,85.9,32.80%,28.87,16.08
1338,4 8 8 13,89.32,29.20%,25.15,14.84
1339,2 7 7 10,89.87,27.10%,27.41,13.19
1340,3 3 7 13,91,27.30%,32.95,18.7
1341,3 8 8 10,91.17,29%,25.68,16.23
1342,4 8 8 11,92.49,30%,23.73,14.3
1343,5 5 7 11,95.73,26.20%,26.32,13.74
1344,2 2 10 11,96.37,30.50%,26.22,17.04
1345,5 7 7 11,96.38,26.90%,25.81,13.06
1346,2 3 8 13,98.05,31.70%,24.03,13.16
1347,7 8 10 11,99.33,29.50%,23.9,14.13
1348,9 11 12 13,102.91,28.20%,21.99,13.14
1349,1 8 12 12,106.72,28.80%,20.72,13.5
1350,3 3 5 7,108.58,29.10%,29.21,18.87
1351,3 7 9 13,113.44,26%,40.54,22.49
1352,2 4 7 12,114.42,28%,29.98,17.54
1353,3 6 6 11,114.68,27.10%,25.52,15.71
1354,3 3 8 8,114.83,30.20%,15.72,10.7
1355,2 9 13 13,115.21,24.70%,31.05,19.58
1356,2 4 10 10,117.57,25.50%,29.92,19.64
1357,1 6 6 8,118.87,29.20%,22.32,13.86
1358,3 5 7 13,126.61,23.40%,38.75,21.15
1359,2 5 5 10,192.74,21.60%,24.29,16.81
1360,1 4 5 6,198.69,28.30%,18.41,11.91
1361,1 3 4 6,203.92,27%,19.94,12.49
1362,2 3 5 12,209.71,20.50%,29.52,22.24
